yt,title
展榮展瑞 K.R Bros,【帶你趣吹否】「日本沖繩」日本超可愛奈良餵小鹿｜展榮展瑞 K.R Bros
MaoMao TV,【實測】在日本參加100%保證看到海龜一日浮潛團 是真的嗎? | 旅行備份神器分享 l MaoMaoTV
MaoMao TV,體驗不同的日式旅館！和京日式酒店｜The Ryokan Tokyo湯河原
MaoMao TV,在日本不能做的 ３件事｜旅行前必看&必知｜Mao旅遊推薦｜日本｜MaoMaoTV
MaoMao TV,日本京都最美 ！川床星巴克｜ 旅行推薦VLOG＃1｜Mao去旅遊｜京都｜MaoMaoTV
MaoMao TV,台灣人在日本NHK出道啦！｜ Mao首次挑戰 英文配音｜NHK world 旅遊節目｜J-Trip Plan & journeys in japan｜日本旅遊｜MaoMaoTV
MaoMao TV,日本旅遊：Mao帶你去京都 祇園祭！｜京都｜自由行｜MaoMaoTV
MaoMao TV,到日本滑雪啦！｜長野「志賀高原滑雪場」｜日本旅遊推薦｜MaoMaoTV
MaoMao TV,日本109辣妹美妝模仿｜體驗｜日本美容院｜台灣人挑戰！【Mao在日本】｜MaoMaoTV
MaoMao TV,日本「貓島」｜島民15人，貓100匹 （青島）｜推薦｜愛媛【Mao去旅遊】｜MaoMaoTV
MaoMao TV,超可愛！哆啦A夢電車｜日本・高岡｜電視台NHK出演｜日本旅遊推薦｜MaoMaoTV
MaoMao TV,超濃拉麵 ：天下一品！｜必吃｜日本旅行必去推薦 ｜Mao去旅遊｜MaoMaoTV
MaoMao TV,日本旅遊省錢 的5種方法？！ ｜＃住宿篇｜日本人都在用的省錢絕招｜MaoMaoTV
MaoMao TV,日本旅遊必見｜京都世界遺產 竟然變成..?!!｜靈異？奇幻？藝術？｜下鴨神社 糺の森の光の祭｜MaoMaoTV
MaoMao TV,日本旅遊前不可不知的３件事｜旅行前必看&必知｜旅遊日文｜日本｜MaoMaoTV
MaoMao TV,日本人吃泡麵的方法！你想試試看嗎？｜MaoMaoTV
MaoMao TV,日本女僕咖啡店 不能做的事｜在秋葉原做錯事..｜メイドカフェ｜ft.阿倫頻道｜MaoMaoTV
MaoMao TV,去日本鄉下旅行！傳說的弥彦村 Day 1｜療癒的週末｜新潟｜MaoMaoTV
MaoMao TV,去日本鄉下旅行！弥彦村 Day 2｜神社迷必見｜新潟｜MaoMaoTV
MaoMao TV,男士勿入？！我去住了東京最棒的膠囊旅館！💊｜MaoMaoTV
MaoMao TV,學日文超實用APP！🇯🇵｜日本旅遊・留學推薦｜HiNative｜MaoMaoTV
MaoMao TV,你的名字♥試做組紐！・忍者貓｜日本伊賀１日遊！｜首次送禮活動，所以影片要看完啦～xD｜MaoMaoTV
MaoMao TV,日本旅遊必去🇯🇵  我去了出雲最美的鳥居！⛩✨｜VLOG・DAY1｜MaoMaoTV
MaoMao TV,日本旅遊必去🇯🇵 我去了傳說中最靈驗的結緣神社「出雲大社」！｜真的有效嗎？｜MaoMaoTV
MaoMao TV,帶你們去看 京都賞楓人氣No.1永観堂！🍁 你同意它是最美的嗎？｜MaoMaoTV
MaoMao TV,【夾娃娃挑戰】和RyuuuTV&阿倫頻道在東京挑戰夾娃娃！｜會成功嗎？？？｜MaoMaoTV
MaoMao TV,超神奇！日本小顏口罩！💕｜留言投票 你覺得它有效嗎〜？｜MaoMaoTV
MaoMao TV,日本人怎麼過聖誕節？🎄🇯🇵｜你知道嗎？｜MaoMaoTV
MaoMao TV,第一次吃日本可怕的〇〇..😱｜隠岐の島 VLOG🇯🇵｜MaoMaoTV
MaoMao TV,試用日本特惠旅遊網站竟然發現..😱｜MaoMaoTV
MaoMao TV,日本滑雪千萬別做這些事..｜大家不要跟我一樣😂｜ft. Mira's Garden｜MaoMaoTV
MaoMao TV,"去日本留學前, 我有學過日文嗎？｜MaoMaoTV"
MaoMao TV,日本VLOG//日出町挑戰〇〇衝浪！會成功嗎？｜日本日出町 一日遊PART 1❤️｜MaoMaoTV
MaoMao TV,♡日本VLOG♡太萌了! 😍 我去了九州唯一的三麗鷗主題樂園！❤️｜日出町旅行PART 2｜MaoMaoTV
MaoMao TV,日本必知//我都是用XXX去機場！日本旅行超好用招數？｜MaoMaoTV
MaoMao TV,日本必吃//我吃了抹茶口味的蕎麥麵..🍵🍜味道究竟會是...｜ft. Kimdao & PeachMilky｜MaoMaoTV
MaoMao TV,跟我一起逛京都錦市場 吃吃喝喝吧！❤️｜ft. MuscleWatching & Matcha Latte ｜MaoMaoTV
MaoMao TV,第一次在坐人力車就看到...？｜ft. 四葉草&二宮芽生｜MaoMaoTV
MaoMao TV,"驚人！在日本吃拉麵, 老闆竟然逼我做這件事...｜京都 噴火拉麵 🔥｜MaoMaoTV"
MaoMao TV,"日本中年男子, 原來喜歡一個人來這種店？😳｜我在東京的一天｜MaoMaoTV"
MaoMao TV,日本電視台出外景在拍什麼景點？跟我做文藝青年一天吧！｜MaoMaoTV
MaoMao TV,Vlog日本//原來東京人週末都是去這裡度假！？ ｜MaoMaoTV
MaoMao TV,VLOG日本//跟我一起尋找超美櫻花列車吧！第一次去日本東北！｜跟Mao玩日本 DAY1｜MaoMao
MaoMao TV,日本賞櫻新選擇！一目千本櫻！🌸｜跟Mao玩日本｜ DAY2｜MaoMaoTV
MaoMao TV,超意外！日本聲優顏值也太高!?第一次見到真正的聲優！｜ VLOG 東京杉並区｜MaoMaoTV
MaoMao TV,我去了世界第一家榻榻米星巴克！到底有多美？｜留言投票你最愛的星巴克飲料！☕️｜日本京都｜MaoMaoTV
MaoMao TV,"如果只花2000日幣, 一天可以去哪裡？｜日本旅行 旅遊推薦｜MaoMaoTV"
MaoMao TV,在日本搭計程車被騙？想要不被騙唯有...｜留言分享：你的計程車訣竅！｜MaoMaoTV
MaoMao TV,"在日本如果只花1000元, 一天可以去哪裡？｜日本旅行 旅遊推薦｜MaoMaoTV"
Alan Channel / 阿倫頻道,最貴的JAL日本航空乘坐體驗！以及這次最讓我失望的地方《阿倫來介紹》
Alan Channel / 阿倫頻道,奇跡美照免修圖！第一次當網美就上手～拍照聖地新宿御苑半日遊《阿倫去旅行》
Alan Channel / 阿倫頻道,一晚要價三萬日幣的「無印良品飯店」銀座開幕啦！極簡風MUJI HOTEL會帶給我們什麼驚喜？《阿倫去旅行》
Alan Channel / 阿倫頻道,日幣1萬新幹線隨你坐？非觀光簽也可以買「東京廣域周遊券」太殺啦！《阿倫去旅行》
Alan Channel / 阿倫頻道,「一日挑戰」日本東京→臺灣花蓮只為了吃頓飯？臺灣米飽養行動日大家一起來集點！《阿倫去旅行》
Alan Channel / 阿倫頻道,超高級A5燒肉購物看夜景！大阪關西真是讓人一去還想再去《阿倫去旅行》
Alan Channel / 阿倫頻道,「富士回遊」新宿到河口湖直接省30分鐘！富士山回遊列車超方便《阿倫去旅行》
Alan Channel / 阿倫頻道,可以「站立」的膠囊旅館！Hotel zen tokyo【Room Tour】試住心得《阿倫去旅行》
Alan Channel / 阿倫頻道,我們的託運行李有沒有被好好對待？日本成田機場縮時攝影來告訴你《阿倫去旅行》
Alan Channel / 阿倫頻道,日本大不同！日本旅遊必知的5個坐電車小知識《阿倫去旅行》
Alan Channel / 阿倫頻道,霧大到看不到路怎麼下山？2019石打丸山最後一滑！冬天在日本就是要滑雪啊《阿倫去旅行》
Alan Channel / 阿倫頻道,有拜有保庇？去廣島旅遊後結果變成大富翁？BOAT RACE宮島嚴島神社旁超好玩神秘景點《阿倫去旅行》
Alan Channel / 阿倫頻道,日本最高級的星巴克開幕啦！STARBUCKS RESERVE® ROASTERY TOKYO《阿倫去旅行》
Alan Channel / 阿倫頻道,第一屆亂夾大賽！和黃氏兄弟黑羽胡子一起夾娃娃！日本最大間的夾娃娃店《阿倫去旅行》
Alan Channel / 阿倫頻道,爽翻！日本最開運的行程！京成電鐵成田開運套票體驗什麼叫日本文化！《阿倫去旅行》
Alan Channel / 阿倫頻道,從日本廣島旅行學到的事《阿倫去旅行》
Alan Channel / 阿倫頻道,2019年東京迪士尼攻略！這樣可以玩到最多！《阿倫去旅行》
Alan Channel / 阿倫頻道,山手線【駒込】站-最貼近日本人生活的地方就在這裡？《阿倫去旅行》山手線散步#06
Alan Channel / 阿倫頻道,超絕好逛【AQUA CITY台場】一天吃了六碗拉麵的日子《阿倫去旅行》日本必逛店
Alan Channel / 阿倫頻道,價值100萬的衣服穿在身上是什麼感覺？！去日本SAKAZEN看高級品果然就是不一樣啊《阿倫去旅行》日本必逛店
Alan Channel / 阿倫頻道,【日本必逛店】BIC CAMERA最熱賣的六樣商品×使用國泰世華信用卡超優惠《阿倫去旅行》
Alan Channel / 阿倫頻道,日本最高級夜巴？腳可以完全伸直的超舒適巴士介紹《阿倫去旅行》
Alan Channel / 阿倫頻道,【日本必逛店】什麼都賣！旅遊必去YODOBASHI CAMERA淀橋相機ヨドバシカメラ秋葉原店《阿倫去旅行》
Alan Channel / 阿倫頻道,日本唯一的磁浮列車在這裡！日本愛知縣Linimo沿線一日輕旅行《阿倫去旅行》
Alan Channel / 阿倫頻道,千萬不要學！東京出發京阪神一日來回大挑戰！究竟一天內可以玩到些什麼呢？《阿倫去旅行》
Alan Channel / 阿倫頻道,入住就給你手機用？東京超高級飯店【新橋1899Hotel】自動窗簾也太嚇人《阿倫去旅行》
Alan Channel / 阿倫頻道,露營兼划船看富士山！日本露營真的超有趣《阿倫去旅行》
Alan Channel / 阿倫頻道,日本最高級的露營地！什麼都不用帶只要人去享受就好《阿倫去旅行》
Alan Channel / 阿倫頻道,簽切結書才能爬上日本最高大樓！大阪奈良超絕玩樂行《阿倫去旅行》
Alan Channel / 阿倫頻道,關西大丈夫！黑門市場道頓堀心斎橋奈良日本料亭超絕行程《阿倫去旅行》
Alan Channel / 阿倫頻道,初次見面就決鬥？山手線鶯谷站劍道體驗課程！ft.胡子《阿倫去旅行》
Alan Channel / 阿倫頻道,【東京隱藏景點】用走的過台場彩虹大橋？日本東京的台場你可以這樣玩《阿倫去旅行》
Alan Channel / 阿倫頻道,我進到日劇的世界了嗎？足袋之鄉行田市‧日劇陸王的舞台就在這裡《阿倫去旅行》
Alan Channel / 阿倫頻道,從東京到成田機場最便宜舒適的巴士坐法【2018最新版】《阿倫去旅行》
Alan Channel / 阿倫頻道,【Room Tour】淺草的青年旅館裡面居然暗藏玄機？！KHAOSAN WORLD ASAKUSA RYOKAN & HOTEL《阿倫去旅行》
Alan Channel / 阿倫頻道,跟我一起去東京巨蛋找陽岱鋼！巨人阪神世仇之戰！《阿倫去旅行》
Alan Channel / 阿倫頻道,再大的＊都裝的下！？SAKAZEN新宿店有什麼不同？《阿倫去旅行》
Alan Channel / 阿倫頻道,【日本必逛店】超多雜貨超好逛VILLAGE VANGUARD《阿倫去旅行》
Alan Channel / 阿倫頻道,阿倫潮男變身記！讓日本帥哥幫我搭衣你喜歡哪套？《阿倫去旅行》
Alan Channel / 阿倫頻道,2018日本富士山攻頂企劃2-在山頂追求男人的浪漫《阿倫去旅行》
Alan Channel / 阿倫頻道,2018日本富士山攻頂企劃1-初老症狀顯現？！《阿倫去旅行》
Alan Channel / 阿倫頻道,爬富士山衣服要怎麼穿？讓登山經驗者阿倫告訴你《阿倫去旅行》
Alan Channel / 阿倫頻道,我正在富士山上！2018富士山攻頂企劃《阿倫去旅行》
Alan Channel / 阿倫頻道,鎌倉我又來啦！永遠逛不完的古都真是一個出遊的好地方《阿倫去旅行》
Alan Channel / 阿倫頻道,賞味時間只有2天的東京伴手禮【舟和】地瓜羊羹《阿倫伴手禮》
Alan Channel / 阿倫頻道,鑽木取火簡易版！用打火石生火 野外篇！男人的浪漫《阿倫去旅行》
Alan Channel / 阿倫頻道,就是那個平交道！與RyuuuTV的日本鎌倉之旅！《阿倫去旅行》
Alan Channel / 阿倫頻道,【日本必逛店】大尺碼的福音！日本SAKAZEN連鎖服飾店《阿倫去旅行》
Alan Channel / 阿倫頻道,用爬的上東京鐵塔？原來東京鐵塔可以這樣玩？《阿倫去旅行》
Alan Channel / 阿倫頻道,軽井沢遊記♡新婚後和老婆的輕旅遊VLOG《阿倫去旅行》
Joeman,【Joeman】韓國麥當勞體驗！吃到超辣的雞柳條 (feat.鳳梨妹)
Joeman,【Joeman】韓國首爾扭蛋體驗！一起轉蛋去 (feat.鳳梨妹)
Joeman,【Joeman】邂逅首爾的流浪貓！完全不會怕人的貓 (feat.鳳梨妹)
Joeman,【Joeman】要價三萬韓元的韓國網咖竟然出現了GTX1080！
Joeman,【Joeman】超便宜的牛奶販賣機！莫斯科量販店體驗 (feat.咪妃、奶綠)
Joeman,【Joeman】超美的莫斯科地鐵與戰車世界 (feat.咪妃)
Joeman,【Joeman】只要台幣10元？莫斯科扭蛋機！轉蛋去
Joeman,【Joeman】都市傳說！俄羅斯買不到棒球？流言破解？
Joeman,【Joeman】俄羅斯的網咖體驗！超越韓國的神級網咖？
Joeman,【Joeman】俄羅斯的麥當勞體驗！出現超好吃的牛肉漢堡！ (feat.咪妃)
Joeman,【Joeman】戰鬥民族的故鄉！莫斯科之旅#1(feat.戰車世界、咪妃)
Joeman,【Joeman】在飛機上吃三餐！新航經濟艙竟然有哈根達斯？
Joeman,【Joeman】挑食的恐懼!一口氣吃七種納豆料理! ft.咪妃
Joeman,【Joeman】直接把照片印在拉花上！四間超酷的高雄飲料店！ft.咪妃
Joeman,【Joeman】超宅企劃！三餐都在家叫外送美食！ft.foodpanda、阿晋、胡子、老婆
Joeman,【Joeman】泰國曼谷必吃的兩家海南雞飯！粉紅色vs綠色
Joeman,【Joeman】一口氣吃12碗烏龍麵！丸亀製麵全餐大挑戰！ft.阿滴
Joeman,【Joeman】用哩程兌換了韓國美食之旅與首爾的五星級飯店！
Joeman,【Joeman】一份套餐300台幣！體驗澳洲的麥當勞與肯德基！Australia McDonald's and KFC
Joeman,【Joeman】24小時來回日本！一日來回東京只為了吃拉麵！
Joeman,【Joeman】一個要500台幣的頂級漢堡？來自紐約的超奢華龍蝦堡！ft.咪妃 Luke's lobster
Joeman,【Joeman】從沒吃過的超高檔比薩！必勝客海皇干貝鳳梨蝦Pizza試吃！ft.咪妃
Joeman,【Joeman】超崩潰企劃！挑戰10倍辣度的一蘭拉麵！ft.咪妃
Joeman,【Joeman】極度邪惡！台中必吃的三家魯肉飯消夜！ft.魚乾、菜喳、阿晋、咪妃
Joeman,【Joeman】台中逢甲夜市必吃美食！好吃到現場開始調情？ft.咪妃、阿晋
Joeman,【Joeman】台南布丁大對決！到底哪家最好吃？ft.咪妃 (依蕾特、紅磚、吃麵吧、櫻波)
Joeman,【Joeman】好吃到可以勾引少女回房間？韓國必買零食推薦！ft.愛莉莎莎
Joeman,【Joeman】台北必吃的三家拉麵店：一幻、Nagi、屯京 (ft.咪妃、瑀熙)
Joeman,【Joeman】美國三家必吃的漢堡店！(father's office、Umami Burger、Carl's Jr) ft.解婕翎
Joeman,【Joeman】深夜禁止！美國必吃的三家連鎖速食店！(In & Out、Jack in the box、Taco Bell)
Joeman,【Joeman】深夜禁止！美國必吃的三家連鎖速食店！(In & Out、Jack in the box、Taco Bell)
Joeman,【Joeman】大排長龍的珍珠手搖店！珍煮丹試喝！(ft.咪妃、凱琪)
Joeman,【Joeman】德國麥當勞體驗！豬肋排漢堡！(ft.Dinter)
Joeman,【Joeman】深夜禁看！韓國必吃的韓式炸雞！ft.鳳梨妹 (Okkudak & KyoChun)
Joeman,【Joeman】韓國麥當勞體驗！吃到超辣的雞柳條 (feat.鳳梨妹)
Joeman,【Joeman】俄羅斯的麥當勞體驗！出現超好吃的牛肉漢堡！ (feat.咪妃)
Joeman,【Joeman】肯德基也開始賣飯？黑椒醬匯雞米飯 試吃！
Joeman,【Joeman】韓國首爾扭蛋體驗！一起轉蛋去 (feat.鳳梨妹)
Joeman,【Joeman】超便宜的牛奶販賣機！莫斯科量販店體驗 (feat.咪妃、奶綠)
Joeman,【Joeman】超便宜的牛奶販賣機！莫斯科量販店體驗 (feat.咪妃、奶綠)
Joeman,【Joeman】超美的莫斯科地鐵與戰車世界 (feat.咪妃)
Joeman,【Joeman】俄羅斯的網咖體驗！超越韓國的神級網咖？
Joeman,【Joeman】俄羅斯的麥當勞體驗！出現超好吃的牛肉漢堡！ (feat.咪妃)
Joeman,【Joeman】戰鬥民族的故鄉！莫斯科之旅#1(feat.戰車世界、咪妃)
Joeman,【Joeman】可以認識超多正妹的夢幻工作？節目主持人的一天Vlog！
Joeman,【Joeman】宅男vs女神？百元料理大挑戰Vlog (feat.解婕翎、Sobad、Vivi)
Joeman,【Joeman】肯德基也開始賣飯？黑椒醬匯雞米飯 試吃！
Joeman,【Joeman】超夢幻水果千層派！日本Harbs蛋糕店介紹 同場加映草莓季商品
Joeman,【Joeman】單點台幣800塊？日本京都神級蛋包飯！(ザ・洋食屋キチキチ)
Joeman,【Joeman】超爽～吃到飽再上飛機！機場貴賓室到底長甚麼樣子？
Joeman,【Joeman】韓國網咖遊記！超狂的網路速度與配備！
Joeman,【Joeman】法國行Vlog-南法篇 (蔚藍海岸、尼斯、艾日、薰衣草、摩納哥)
Joeman,【Joeman】2016 E3 照片閒聊 為什麼蔣中正在這裡?
Joeman,【Joeman】2016 E3 第四天：《榮耀戰魂》、《火線獵殺:野境》試玩心得
Joeman,【Joeman】2016 E3 第三天：死亡復甦4、狙擊菁英4、ReCore試玩
Joeman,【Joeman】2016 E3 第二天：試玩7000美金的賽車椅！
Joeman,【Joeman】2016 E3 第一天：XBOX限量福袋開箱！
the劉沛,劉沛跟美根意見分歧？肚子餓千萬不要看！美國州烤肉評分！【劉沛踹踹看】
the劉沛,我們租車結果免費大升級？！公路旅行的超大折扣！【劉沛 VLOG】
the劉沛,經濟艙的座位為什麼可以那麼寬大？免費升級！【劉沛 VLOG】
the劉沛,整個城市都在玩寶可夢！在芝加哥跟超多美國人一起團體戰！【劉沛 寶可夢³ 37】
the劉沛,第一次去同性戀的裸體沙灘！最後一天在舊金山！Ft. 阿滴英文【劉沛 VLOG】
the劉沛,跟Google創辦人一起看最高機密的未來科技！我們太幸運了！Ft. 阿滴英文【劉沛 VLOG】
the劉沛,外國陌生人誠實評價我們的長相，我們到底帥不帥？！Ft. 阿滴英文【劉沛 VLOG】
the劉沛,原來當Google員工有這麼多好處！你一定沒看過的谷歌導覽！【劉沛 VLOG】
the劉沛,明明不是3C產品YouTuber為什麼Google會邀請我們兩個？Ft. 阿滴英文【劉沛 VLOG】
the劉沛,我們錯過飛機被困在美國，居然回不了台灣了？！【劉沛 VLOG】
the劉沛,可以相信他們嗎？搭陌生人的吉普車找到秘境海灘！【劉沛 VLOG】
the劉沛,35年沒有爆發的火山居然爆發？！【劉沛 VLOG】
the劉沛,強力推薦！來夏威夷必做的事！跟鬼蝠魟一起夜間浮潛！【劉沛VLOG】
the劉沛,初次體驗傳統夏威夷婚禮，最不可思議的異地戀故事!【劉沛VLOG】
the劉沛,美根真正的男朋友！他是誰啊？！【劉沛 VLOG】
the劉沛,美根家有九個兄弟姊妹！！超級無敵大家庭！【劉沛 VLOG】
the劉沛,沒趕到飛機的感覺，難道我再也見不到美根！？【劉沛 VLOG】
the劉沛,我是怎麼考進南加大電影學院USC (美國最好的電影學院)【劉沛 VLOG】
the劉沛,你有看過能錄影的墨鏡嗎？！【劉沛 VLOG】
the劉沛,30萬訂閱！巨大Vlog！問與答Q&A！開箱！【劉沛 VLOG】
the劉沛,跟美國好聲音的歌手一起在知名的錄音室唱歌!【 劉沛 VLOG 音樂】
the劉沛,美國VS台灣珍珠奶茶店有什麼差別呢？【劉沛VLOG】魔術遊戲
the劉沛,我遇見兩個超大明星！在美國最大科技展！【劉沛VLOG】CES 2017
the劉沛,可以飛的車子終於做出來了？！未來科技！【劉沛VLOG】CES 2017
the劉沛,最適合懶人玩寶可夢的拉斯維加斯飯店?!【劉沛VLOG】
the劉沛,沒人來過的奇幻森林?!【劉沛VLOG】美根回台灣了!
the劉沛,我的聖誕故事【劉沛VLOG】美國華裔的角度
the劉沛,劉老爸來看網友的留言！你好！我們在GTA5的聖塔莫尼卡！【劉沛VLOG】
the劉沛,要成為卡比獸就要喝美國的珍珠奶茶?!【劉沛VLOG】
the劉沛,【劉沛VLOG】怎麼可以都免費？勇闖美國矽谷！高科技公司探索！
the劉沛,【劉沛】Pokemon Go的星冰樂長什麼樣子呢？就在美國納帕山谷！
the劉沛,【劉沛】警告！不能玩寶可夢的地方就在這裡！
the劉沛,【劉沛】這絕對是肥的卡比獸！！！
the劉沛,【劉沛】在美國抓到的第一支寶可夢就是它!!!『 還有地獄辣墨西哥餅!』
the劉沛,【劉沛】用一天！遊台灣、日本、美國！
the劉沛,[第一次參加美國中部的婚禮]SHE CAUGHT THE BOUQUET!
the劉沛,[來看看美國遊樂園&高爾夫]GOLF CLUB OR NIGHT CLUB?!
the劉沛,[王建民跟我招手!] I MET KC SUPERMAN!
